frame_index,timestamp_sec,trunk_angle_deg,left_knee_deg,right_knee_deg,left_elbow_deg,right_elbow_deg,hip_height_px,trajectory_dx,trajectory_dy,speed_proxy,posture_label,terrain_label,balance_score,line_efficiency_score
101,1.6857467144563918,-120.34060553186046,135.95429926422432,154.50560139551646,153.18676222483415,111.66687235174399,395.1406707763672,,,,defensive,unknown,81.45,70.0
102,1.702437275985663,-124.11760533594979,146.8156017227795,150.26108917139584,151.89784921862378,109.45761977717385,395.2672882080078,4.1580352783203125,0.0374755859375,4.158204155076761,defensive,technical_or_slow,96.55,96.67
105,1.7525089605734767,-128.32641593175796,154.2754829876883,157.80568013409575,152.21772692078497,121.30415552661714,398.0073699951172,22.923904418945312,2.35882568359375,23.044944183367466,defensive,flow_section,96.47,81.66
106,1.769199522102748,-130.4895265805837,162.36392892630437,153.84391553797445,146.96157485300617,129.4249292379553,398.7925796508789,2.3954925537109375,0.52667236328125,2.452706332427265,defensive,technical_or_slow,91.48,98.08
109,1.8192712066905614,-132.0625531649557,162.9167308755168,163.46832356039585,151.23462395127362,134.13318240290445,400.371484375,9.951126098632812,1.3615875244140625,10.043845439747225,defensive,flow_section,99.45,92.04
112,1.8693428912783752,-134.2623592586998,167.94396904256877,167.59858080323102,159.36451219076233,139.3349000961034,402.3339782714844,8.42950439453125,-0.3348236083984375,8.436151444003515,defensive,technical_or_slow,99.65,93.26
117,1.952795698924731,-134.46889700021558,169.33450274415887,173.5498910686831,163.434221831479,146.7448214989656,404.9867401123047,15.383636474609375,5.2783355712890625,16.263981603102835,defensive,flow_section,95.78,87.69
118,1.9694862604540022,-134.74773744346518,170.34270850908553,174.70411620929394,164.97715792863295,149.97264834376054,405.7628936767578,1.48577880859375,1.0186767578125,1.8014552464531697,defensive,technical_or_slow,95.64,98.81
119,1.9861768219832736,-134.07029276175993,169.10192771902274,179.49032528249379,168.54837288209671,150.0328585960445,407.41095275878905,1.8384857177734375,0.98388671875,2.085200903939367,defensive,technical_or_slow,89.61,98.53
120,2.0028673835125446,-133.13267345855854,173.32420462980105,173.56341280785048,165.20047554366647,151.18727714922446,407.7617248535156,1.292083740234375,1.1573486328125,1.7346285624452904,defensive,technical_or_slow,99.76,98.97
